"Elapsed_Time","Cases","Deaths"
235.,37.3415123916,0.335402805913
236.,48.7452077927,1.00620841774
237.,43.3787628981,1.22981028835
238.,63.6147321881,0.335402805913
239.,54.4470554932,0.447203741217
240.,51.5402311753,0.335402805913
241.,50.6458236928,0.335402805913
242.,43.8259666393,0.223601870609
243.,47.6271984396,0.78260654713
244.,45.6147816041,0.670805611826
245.,25.4906132494,1.00620841774
246.,98.832026809,0.670805611826
247.,83.8507014782,0.670805611826
248.,78.0370528424,0.335402805913
249.,62.4967228351,0.111800935304
250.,50.9812264987,1.11800935304
251.,79.6022659366,0.559004676521
252.,68.6457742768,2.01241683548
253.,82.7326921252,-1.00620841774
254.,105.875485733,0.447203741217
255.,69.9873855005,0.111800935304
256.,57.1302779405,0.223601870609
257.,70.3227883064,1.00620841774
258.,56.7948751346,0.559004676521
259.,145.117614025,1.00620841774
260.,96.7078090382,0.335402805913
261.,96.5960081029,0.78260654713
262.,83.9625024135,0.335402805913
263.,52.4346386577,0.111800935304
264.,110.459324081,0.78260654713
265.,104.869277315,1.00620841774
266.,108.55870818,0.670805611826
267.,90.5587575965,0.559004676521
268.,104.422073574,0.223601870609
269.,101.627050192,0.78260654713
270.,174.185857204,0.335402805913
271.,110.459324081,1.45341215896
272.,115.154963363,2.01241683548
273.,129.912686824,2.01241683548
274.,116.831977393,1.11800935304
275.,213.427985496,0.894407482434
276.,126.223255959,0.447203741217
277.,135.94993733,0.78260654713
278.,184.136140446,1.56521309426
279.,186.260358217,2.012416835476762
280.,173.291449722,0.8944074824341165
281.,220.918648161,0.78260654713
282.,152.38467482,1.22981028835
283.,194.869030235,0.447203741217
284.,152.943679496,0.335402805913
285.,204.372109736,1.56521309426
286.,271.89987466,2.23601870609
287.,219.353435067,1.34161122365
288.,241.601821193,1.45341215896
289.,357.986594844,1.00620841774
290.,225.055282767,0.447203741217
291.,230.086324856,1.22981028835
292.,422.272132644,2.34781964139
293.,342.669866708,1.67701402956
294.,390.297065147,2.12421777078
295.,379.787777229,3.01862525322
296.,486.669471379,2.90682431791
297.,507.352644411,2.01241683548
298.,248.08627544,1.56521309426
299.,450.110565535,4.24843554156
300.,452.011181435,4.13663460626
301.,467.551511442,3.80123180034
302.,405.390191413,2.571421512
303.,521.998566936,3.80123180034
304.,443.626111287,1.67701402956
305.,400.359149325,1.22981028835
306.,477.948998426,5.2546439593
307.,451.8993805,7.49066266539
308.,500.085583616,4.36023647687
309.,457.824830071,1.90061590017
310.,344.346880737,2.571421512
311.,509.924065923,1.45341215896
312.,356.644983621,1.67701402956
313.,514.955108011,10.0620841774
314.,480.296818067,6.93165798886
315.,535.861882913,7.15525985947
316.,633.128696628,5.142843024
317.,595.22817956,5.70184770052
318.,674.159639885,1.67701402956
319.,398.346732489,1.67701402956
320.,612.221921726,10.0620841774
321.,495.389944333,12.9689084953
322.,572.420788758,7.37886173008
323.,408.073413861,6.03725050643
324.,697.637836299,7.8260654713
325.,464.421085254,2.12421777078
326.,536.42088759,2.6832224473
327.,443.402509417,10.8446907245
328.,632.905094757,14.6459225249
329.,475.71297972,8.60867201843
330.,435.576443945,4.91924115339
331.,468.55771986,5.47824582991
332.,578.5698402,2.34781964139
333.,354.52076585,3.24222712382
334.,514.619705206,11.5154963363
335.,533.514063272,15.6521309426
336.,525.911599671,8.72047295373
337.,565.71273264,5.70184770052
338.,447.091940282,2.01241683548
339.,259.378169906,1.90061590017
340.,306.781766475,2.34781964139
341.,408.856020408,14.0869178483
342.,518.979941682,19.5651636782
343.,569.737566311,10.0620841774
344.,615.016945109,13.1925103659
345.,616.134954462,3.01862525322
346.,410.309432567,2.34781964139
347.,118.508991423,1.90061590017
348.,730.507311278,17.5527468428
349.,560.23448681,15.7639318779
350.,692.271391404,13.7515150424
351.,644.97959577,12.2981028835
352.,718.544611201,10.9564916598
353.,6908.51519526,0
354.,596.346188913,0
355.,512.830890241,20.6831730313
356.,880.991370198,13.6397141071
357.,792.892233178,0
358.,705.575702705,17.7763487134
359.,677.178265138,10.5092879186
360.,573.762399981,2.79502338261
361.,430.769003727,2.12421777078
362.,517.414728588,6.03725050643
363.,607.973486185,16.9937421662
364.,564.482922351,10.7328897892
365.,469.563928278,12.85710756
366.,799.04128462,6.59625518295
367.,589.414530924,1.90061590017
368.,463.191274966,2.34781964139
369.,539.99851752,14.8695243955
370.,531.725248307,12.85710756
371.,530.607238954,9.05587575965
372.,669.240398731,9.16767669495
373.,589.638132795,8.04966734191
374.,479.178808714,3.24222712382
375.,393.203889465,3.24222712382
376.,352.172946208,7.9378664066
377.,258.371961488,12.1863019482
